study ID,first author,publication_date,earliest_date,obs
293,Tartof,03/08/2022,,
294,Pinto-Alvarez,13/10/2022,06/08/2022,[Update to August 6 2022 preprint]
295,Zambrano,04/08/2022,,
296,El Adam,15/04/2022,,
297,Lewis,27/07/2022,,
298,Cheng,11/08/2022,,
299,Risk,16/08/2022,,
300,Kim,17/08/2022,,
301,Yan,18/08/2022,,
302,Powell,22/08/2022,22/08/2022,[Published version of August 22 2022 preprint]
303,Wan,17/08/2022,,
304,Tsang,12/12/2022,25/08/2022,"[Update to August 25, 2022 preprint]"
305,Cocchio,20/08/2022,,
306,Lim,24/08/2022,,
307,Lind,21/11/2022,26/08/2022,[Update to August 26 2022 preprint]
308,Suphanchaimat,05/07/2022,,
309,Barraza,05/08/2022,,
310,Penayo,01/06/2022,,
311,Monge,02/09/2022,,
312,Huang,20/10/2022,09/09/2022,[Update to September 9 2022 preprint]
313,Chico-Sanchez,31/08/2022,,
314,Mallah,10/09/2022,,
315,Chatzilena,07/12/2022,12/09/2022,[Published version of September 12 2022 preprint]
316,Collie,14/09/2022,,
317,Martin,10/09/2022,,
318,Chung,07/09/2022,,
319,Xu,05/12/2022,20/09/2022,[Published version of September 20 2022 preprint]
320,Mas-Bermejo,28/09/2022,05/04/2022,[Preprint date on SSRN]
321,Copur,28/09/2022,,
322,Schrag,26/09/2022,,
323,Ferdinands,03/10/2022,,
324,Link-Gelles,05/10/2022,05/10/2022,[Published version of October 5 2022 preprint]
325,Grewal,03/12/2022,30/09/2022,[Published version of September 30 2022 preprint]
326,Lin,26/09/2022,,
327,Rudan,28/09/2022,,
328,Lewis,28/09/2022,,
329,Buchan,22/09/2022,,
330,Risk,08/10/2022,,
331,Mimura,08/10/2022,,
332,Wan,17/10/2022,,
333,Chambers,19/10/2022,,
334,Consonni,19/10/2022,,
335,Zerbo,28/02/2023,18/10/2022,[Published version of October 18 2022 preprint]
336,Embi,22/05/2023,21/10/2022,[published version of October 21 2022 preprint]
337,Britton,21/10/2022,,
338,Surie,21/10/2022,,
339,Collie,24/10/2022,,
340,Nordstrom,21/02/2023,24/10/2022,[Published version of October 24 2022 preprint]
341,Tartof,25/10/2022,,
342,Moghnieh,22/09/2022,,
343,Grewal,07/03/2023,01/11/2022,[Published version of Nov 1 2022 preprint]
344,Chemaitelly,07/03/2023,,
345,Clemens,13/10/2022,,
346,Jorgensen,08/02/2023,08/11/2022,[Published version of November 8 2022 preprint]
347,Van Ewijk,10/11/2022,,
348,Turbyfill,15/11/2022,,
349,Castelli,30/11/2022,,
350,Fu,22/09/2023,10/12/2022,[Published version of December 10 2022 preprint]
351,Cegolon,30/11/2022,,
352,Khanam,02/12/2022,,
353,Nittayasoot,12/12/2022,,
354,Carazo,14/07/2023,27/12/2022,[Published version of December 27 2022]
356,Horne,05/01/2023,,
357,Lewis,31/12/2022,,
358,Dalton,06/01/2023,,
359,Jang,09/01/2023,,
360,Peebles,10/01/2023,,
361,Tartof,11/01/2023,,
363,Alkadi,26/12/2022,,
364,Heidarzadeh,23/12/2022,,
365,Lin,16/06/2023,19/01/2023,[Update to Jan 19 2023 preprint]
366,Battacharya,06/01/2023,,
367,Ellingson,26/01/2023,,
368,Niesen,28/04/2022,,
369,Toh,27/01/2023,,
370,Tartof,28/01/2023,,
371,Sritipsukho,30/01/2023,,
372,Weng,01/02/2023,,
374,Bello Chavolla,02/02/2023,02/02/2023,[Published version of February 02 2023 preprint]
375,Jorgensen,27/02/2023,,
376,Yan,28/02/2023,,
378,Glatman-Freedman,02/03/2023,,
380,Tamandjou Tchuem,27/02/2023,,
381,Rojas-Botero,08/09/2023,22/03/2023,[Published version of March 22 2023 preprint]
382,Bouillon,13/06/2022,,
383,Lipshuetz,23/03/2023,,
384,Lutz,27/03/2023,,
385,Klein,07/04/2023,,
386,Huang,12/04/2023,,
387,Altarawneh,27/07/2023,22/04/2023,[Update to April 22 2023 preprint]
388,Braeye,05/04/2023,,
389,DeCuir,28/04/2023,,
390,Qassim,19/07/2023,29/04/2023,[Published version of April 29 2023 preprint]
391,Huang,01/05/2023,,
392,Yan,03/05/2023,,
393,Finci,12/10/2023,05/05/2023,[Published version of May 5 2023 preprint]
394,Surie,29/06/2023,05/05/2023,[Update to May 5  2023 preprint]
395,Langlete,10/05/2023,,
396,Park,15/05/2023,,
397,Yung,15/05/2023,,
398,Ng,26/05/2023,,
399,Monteiro,10/08/2023,07/06/2023,[Published version of June 7  2023 preprint]
401,Bozio,18/02/2023,,
403,Wu,09/01/2024,01/06/2023,[Published version of June 2023 preprint]
404,Spicer,12/05/2023,,
405,Lowthian,22/06/2023,,
406,Aglipay,28/06/2023,,
408,Cegolon,14/07/2023,,
409,Tamada,22/07/2023,,
410,Liu,29/07/2023,,
411,Rosa,26/07/2023,,
412,Franchi,01/08/2023,,
413,Whitaker,12/08/2023,,
414,Link-Gelles,17/08/2023,,
415,Zerbo,25/08/2023,,
416,Ogilvie,08/09/2023,,
417,Copland,07/09/2023,,
418,Paternina-Caicedo,09/09/2023,,
419,Chen,14/09/2023,,
420,Irala,15/09/2023,,
421,Tartof,15/09/2023,,
422,Mimura,23/09/2023,,
423,Patel,29/09/2023,,
424,Chemaitelly,04/10/2023,,
426,Hernandez-Avila,19/10/2023,,
427,Lee,24/11/2023,25/08/2023,[Update to August 25  2023 preprint]
428,Yiu,10/10/2023,,
429,Tartof,25/10/2023,,
430,Razafimandimby,30/10/2023,,
431,Goh,10/11/2023,,
432,Culpan,15/11/2023,,
433,Szekanecz,02/11/2023,,
436,Qin,12/12/2023,,
437,Arashiro,19/12/2023,,
438,Qin,12/12/2023,,
439,Birk,29/12/2023,,
440,Ye,14/12/2023,,
